,CustID,AgentBonus,Age,CustTenure,Channel,Occupation,EducationField,Gender,ExistingProdType,Designation,NumberOfPolicy,MaritalStatus,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,Zone,PaymentMethod,LastMonthCalls,CustCareScore,SilWidth,Cluster
14,7000014,4311,21-39,17.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,21553.0,0,1.0,732802.0,West,Half Yearly,0,2.0,0.0680800425939453,1
15,7000015,3402,1-20,3.0,Agent,Large Business,Engineer,Male,3,Manager,2.0,Divorced,21261.0,0,5.0,547683.0,West,Half Yearly,7,2.0,0.1234951841071384,1
16,7000016,1930,1-20,4.0,Third Party Partner,Large Business,Engineer,Male,4,Manager,5.0,Divorced,19298.0,0,2.0,245085.0,West,Yearly,0,3.0,0.040536483689018424,2
17,7000017,2180,1-20,11.0,Online,Salaried,Graduate,Male,3,Manager,2.0,Married,21804.0,1,1.0,287813.0,North,Half Yearly,7,2.0,0.14120563737612693,1
18,7000018,2258,1-20,5.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,3.0,Married,18815.0,1,1.0,392857.0,West,Half Yearly,0,3.0,0.12213483872750316,1
19,7000019,4258,1-20,21.0,Agent,Small Business,Under Graduate,Male,3,Manager,2.0,Divorced,17741.0,1,3.0,847310.0,West,Half Yearly,7,2.0,0.0879442688716323,1
20,7000020,3034,1-20,18.0,Agent,Small Business,Under Graduate,Male,3,Manager,5.0,Divorced,21673.0,1,1.0,324662.0,North,Half Yearly,0,3.0,0.11629176151233399,1
21,7000021,4981,1-20,24.5,Agent,Small Business,Diploma,Female,3,Senior Manager,2.0,Divorced,22639.0,0,1.0,826776.0,West,Half Yearly,9,3.0,-0.008546954092557825,0
22,7000022,3466,1-20,3.0,Agent,Salaried,Graduate,Male,2,Executive,4.0,Married,17328.0,1,1.0,374285.0,West,Quarterly,2,4.0,0.08680942760562763,1
23,7000023,3431,1-20,14.0,Third Party Partner,Small Business,Under Graduate,Female,3,Executive,2.0,Single/Unmarried,17153.0,0,2.0,619999.6992670636,North,Half Yearly,7,3.0,0.11673596451914305,1
24,7000024,4969,21-39,24.5,Online,Salaried,Graduate,Male,4,Manager,2.0,Divorced,19876.0,0,4.0,902777.625,North,Yearly,2,5.0,0.013523746986089788,0
25,7000025,3903,1-20,8.0,Agent,Small Business,Under Graduate,Male,3,Senior Manager,5.0,Married,24396.0,0,5.0,640151.0,North,Half Yearly,3,2.0,0.1140187765536468,1
26,7000026,3556,1-20,21.0,Agent,Small Business,Under Graduate,Male,5,Senior Manager,2.0,Divorced,25400.0,0,4.0,540512.0,West,Yearly,8,2.0,0.09693927409799175,2
27,7000027,3756,1-20,15.0,Online,Salaried,Graduate,Male,4,Senior Manager,3.0,Single/Unmarried,23474.0,0,6.0,386852.0,West,Yearly,8,5.0,0.07209679632699885,2
28,7000028,2998,1-20,3.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,3.0,Single/Unmarried,24981.0,0,1.0,599544.0,West,Half Yearly,7,2.0,0.11078248044492633,1
29,7000029,5223,21-39,24.5,Agent,Salaried,Graduate,Male,4,Senior Manager,4.0,Divorced,27490.0,0,2.0,851365.0,West,Yearly,7,3.0,0.08469615397578344,0
30,7000030,4414,1-20,9.0,Agent,Large Business,Engineer,Female,3,Executive,5.0,Single/Unmarried,17657.0,1,4.0,560610.0,West,Half Yearly,4,4.0,0.10147404860244012,1
31,7000031,6576,1-20,24.5,Agent,Salaried,Graduate,Female,3,Senior Manager,2.0,Single/Unmarried,28006.375,1,6.5,749656.0,North,Half Yearly,0,2.0,0.07200744094899611,0
32,7000032,4122,1-20,16.0,Third Party Partner,Small Business,Diploma,Female,4,Manager,5.0,Single/Unmarried,21696.0,0,2.0,783226.0,West,Yearly,1,2.0,0.07885666509962633,2
33,7000033,2729,1-20,5.0,Agent,Large Business,Engineer,Male,3,Executive,3.0,Single/Unmarried,17058.0,0,2.0,619999.6992670636,West,Half Yearly,5,2.0,0.12649126273207606,1
34,7000034,2625,1-20,8.0,Online,Small Business,Under Graduate,Female,4,Senior Manager,2.0,Single/Unmarried,23865.0,0,2.0,393773.0,West,Yearly,8,4.0,0.06316428371708432,2
35,7000035,5235,1-20,10.0,Agent,Small Business,Diploma,Female,3,Manager,5.0,Divorced,20940.0,0,6.5,738135.0,West,Half Yearly,5,4.0,-0.04335183858784549,0
36,7000036,2928,1-20,6.0,Agent,Salaried,Graduate,Male,3,Manager,4.0,Single/Unmarried,20914.0,0,4.0,494825.0,North,Half Yearly,7,2.0,0.14873240197699947,1
37,7000037,2291,1-20,2.0,Agent,Small Business,Under Graduate,Female,4,Executive,4.0,Divorced,17622.0,0,2.0,341338.0,West,Yearly,1,4.0,0.04492327124848481,2
38,7000038,6524,1-20,20.0,Third Party Partner,Salaried,Post Graduate,Male,3,Senior Manager,2.0,Married,27185.0,1,6.5,902777.625,West,Half Yearly,7,3.0,0.09161486481823262,0
39,7000039,5122,1-20,24.5,Agent,Salaried,Graduate,Male,3,Senior Manager,3.0,Married,25609.0,0,2.0,793879.0,North,Half Yearly,13,2.0,0.0351903661096375,0
40,7000040,2708,1-20,14.0,Online,Small Business,Under Graduate,Male,5,Manager,3.0,Divorced,19345.0,0,1.0,365621.0,West,Yearly,4,3.0,0.09870610547904604,2
41,7000041,2405,1-20,2.0,Agent,Salaried,Graduate,Male,4,Executive,2.0,Divorced,17177.0,0,6.5,619999.6992670636,North,Yearly,0,3.0,0.04382530004224968,2
42,7000042,3779,1-20,23.0,Third Party Partner,Small Business,Diploma,Male,3,Executive,2.0,Married,17177.0,0,2.0,619999.6992670636,West,Half Yearly,8,4.0,0.11351001029959004,1
43,7000043,3896,1-20,16.0,Third Party Partner,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Divorced,22918.0,0,6.0,599993.0,West,Half Yearly,1,3.0,0.09580583016703621,1
44,7000044,3806,1-20,11.0,Third Party Partner,Small Business,Diploma,Female,3,Senior Manager,3.0,Single/Unmarried,23789.0,0,5.0,738411.0,North,Half Yearly,8,5.0,0.07007714134880316,1
45,7000045,4347,1-20,4.0,Agent,Small Business,Under Graduate,Male,4,Executive,2.0,Single/Unmarried,17389.0,1,3.0,434725.0,West,Yearly,1,3.0,0.06454054535520506,2
46,7000046,2003,1-20,14.469026548672566,Agent,Salaried,Graduate,Female,4,Executive,2.0,Single/Unmarried,18212.0,0,6.0,368611.0,West,Yearly,2,3.0,0.06976004013245568,2
47,7000047,4450,21-39,9.0,Agent,Large Business,Engineer,Male,3,AVP-VP,2.0,Divorced,28006.375,0,4.130073800738008,756527.0,West,Half Yearly,15,2.0,0.051104491566922525,0
48,7000048,3971,1-20,24.0,Agent,Small Business,Under Graduate,Male,3,Executive,3.0,Divorced,17267.0,0,4.0,424941.0,West,Half Yearly,2,4.0,0.12560015022156817,1
49,7000049,7594,21-39,24.5,Agent,Small Business,Under Graduate,Female,3,AVP-VP,2.0,Married,28006.375,0,4.130073800738008,902777.625,North,Half Yearly,6,2.0,0.1805547594834715,0
50,7000050,2790,1-20,17.0,Agent,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17436.0,1,4.0,488208.0,West,Half Yearly,4,2.0,0.12808870329649705,1
51,7000051,6213,21-39,24.5,Agent,Small Business,Diploma,Female,3,AVP-VP,2.0,Divorced,28006.375,1,3.0,776600.0,North,Half Yearly,9,3.0,0.13486626248325995,0
52,7000052,2125,1-20,4.0,Agent,Salaried,Graduate,Female,3,Executive,5.0,Divorced,17707.0,0,1.0,303852.0,West,Half Yearly,7,3.0,0.13580007284869106,1
53,7000053,5451,21-39,24.5,Online,Salaried,Graduate,Male,4,AVP-VP,3.0,Single/Unmarried,28006.375,1,4.130073800738008,566892.0,North,Yearly,12,2.0,0.06550277566097627,0
54,7000054,3218,1-20,10.0,Agent,Salaried,Graduate,Female,3,Executive,4.0,Divorced,18931.0,0,3.0,482741.0,West,Half Yearly,2,3.0,0.1511897375066868,1
55,7000055,2060,1-20,2.0,Agent,Salaried,Graduate,Male,4,Executive,3.0,Single/Unmarried,18730.0,1,2.0,245176.0,North,Yearly,2,5.0,0.04806087476471195,2
56,7000056,3102,1-20,3.0,Agent,Small Business,Under Graduate,Female,3,Executive,3.0,Married,17232.0,0,1.0,619999.6992670636,North,Half Yearly,2,3.0,0.13900002397606123,1
57,7000057,1947,1-20,10.0,Online,Small Business,Diploma,Male,3,Manager,2.0,Divorced,19465.0,0,6.0,210222.0,North,Half Yearly,2,4.0,0.1261747628562171,1
58,7000058,2530,1-20,14.469026548672566,Agent,Salaried,Graduate,Male,3,Manager,5.0,Married,18072.0,0,1.0,361801.0,West,Half Yearly,0,2.0,0.1424580081435599,1
59,7000059,3847,1-20,14.469026548672566,Agent,Large Business,Engineer,Male,3,Manager,2.0,Married,18319.0,0,4.0,453945.0,North,Half Yearly,7,3.0,0.13848926348121787,1
60,7000060,3420,1-20,10.0,Agent,Salaried,Post Graduate,Male,2,AVP-VP,2.0,Divorced,28006.375,0,4.130073800738008,420685.0,North,Quarterly,7,4.0,0.07400122081525774,1
61,7000061,5162,1-20,24.5,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3.0,Married,28006.375,0,6.5,727772.0,North,Half Yearly,2,4.0,0.037057755029813844,0
62,7000062,2687,1-20,14.469026548672566,Agent,Salaried,Graduate,Female,4,Executive,2.0,Divorced,17911.0,0,1.0,292845.0,North,Yearly,2,2.0,0.046293930886792393,2
63,7000063,4820,1-20,24.0,Agent,Salaried,Graduate,Male,4,Manager,5.0,Divorced,20957.0,0,6.5,882080.0,West,Yearly,9,4.0,0.01360882220665899,0
64,7000064,4541,1-20,9.0,Agent,Small Business,Under Graduate,Female,4,Executive,5.0,Divorced,18920.0,0,5.0,476784.0,West,Yearly,2,4.0,0.06485980273901855,2
65,7000065,3858,1-20,12.0,Third Party Partner,Salaried,Graduate,Male,2,Manager,3.0,Divorced,21434.0,0,1.0,598009.0,North,Quarterly,2,2.0,0.07927666686211826,1
66,7000066,6262,1-20,24.5,Third Party Partner,Small Business,Under Graduate,Male,3,Senior Manager,3.0,Married,25048.0,0,6.0,845370.0,North,Half Yearly,0,3.0,0.05009169101034058,0
67,7000067,2853,1-20,3.0,Third Party Partner,Large Business,Engineer,Female,3,Senior Manager,3.0,Single/Unmarried,25938.0,0,3.0,524985.0,North,Half Yearly,8,2.0,0.09167541835808472,1
68,7000068,1907,1-20,2.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Single/Unmarried,17340.0,0,1.0,223166.0,West,Half Yearly,5,3.0,0.14017250506265355,1
69,7000069,2370,1-20,2.0,Agent,Salaried,Graduate,Female,2,Manager,5.0,Single/Unmarried,21545.0,1,4.0,421851.0,West,Quarterly,2,2.0,0.062743546189803,1
70,7000070,2632,1-20,3.0,Agent,Small Business,Diploma,Male,3,Manager,2.0,Married,21931.0,0,2.0,494763.0,West,Half Yearly,2,2.0,0.14033941694603752,1
71,7000071,2587,1-20,10.0,Agent,Salaried,Graduate,Female,3,Manager,3.0,Divorced,19898.0,0,1.0,271608.0,North,Half Yearly,2,3.0,0.14672147699689847,1
72,7000072,1759,1-20,4.0,Agent,Small Business,Under Graduate,Female,4,Executive,5.0,Married,17593.0,1,3.0,299081.0,West,Yearly,8,4.0,0.04841244943617346,2
73,7000073,3788,1-20,8.0,Agent,Small Business,Under Graduate,Male,3,AVP-VP,3.0,Married,28006.375,0,4.130073800738008,458343.0,West,Half Yearly,9,5.0,0.11003332158555924,1
74,7000074,1950,1-20,4.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,17723.0,0,1.0,384057.0,North,Half Yearly,0,4.0,0.14379890688650687,1
75,7000075,2587,1-20,14.469026548672566,Third Party Partner,Small Business,Under Graduate,Male,4,Executive,4.0,Single/Unmarried,18479.0,0,1.0,463084.0,North,Yearly,4,3.0,0.061887332468056444,2
76,7000076,4093,21-39,14.469026548672566,Third Party Partner,Salaried,Graduate,Male,2,Executive,4.0,Divorced,17794.0,0,1.0,781690.0,North,Quarterly,3,2.0,0.057627594976894056,1
77,7000077,3037,1-20,15.0,Online,Salaried,Graduate,Male,4,Manager,2.0,Divorced,20249.0,0,6.5,419154.0,West,Yearly,5,5.0,0.05477901004069343,2
78,7000078,3092,1-20,3.0,Agent,Large Business,Engineer,Male,4,Manager,5.0,Single/Unmarried,17176.0,0,4.0,619999.6992670636,West,Yearly,4,4.0,0.06590509275766994,2
79,7000079,3187,1-20,16.0,Agent,Large Business,Engineer,Female,5,AVP-VP,4.0,Divorced,28006.375,1,5.0,382464.0,North,Yearly,7,5.0,0.07720097296396239,2
80,7000080,4621,1-20,14.469026548672566,Agent,Salaried,Graduate,Male,3,Executive,3.0,Single/Unmarried,18485.0,0,1.0,573035.0,North,Half Yearly,0,4.0,0.134530702342969,1
81,7000081,5411,21-39,22.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Divorced,21644.0,0,1.0,902777.625,North,Yearly,0,4.0,0.005764124154800319,0
82,7000082,5146,21-39,5.0,Agent,Small Business,Under Graduate,Male,4,Manager,2.0,Divorced,20582.0,0,6.0,902777.625,North,Yearly,8,3.0,-0.001510458530875127,0
83,7000083,3610,1-20,4.0,Online,Salaried,Graduate,Male,2,Manager,5.0,Married,19000.0,0,4.0,527060.0,West,Quarterly,5,5.0,0.08638001192904593,1
84,7000084,4844,1-20,15.0,Agent,Small Business,Under Graduate,Male,3,AVP-VP,2.0,Divorced,28006.375,1,2.0,902777.625,North,Half Yearly,10,3.0,0.023818907194297096,0
85,7000085,4188,1-20,14.469026548672566,Agent,Salaried,Graduate,Male,3,Executive,2.0,Divorced,18210.0,0,1.0,603115.0,West,Half Yearly,11,5.0,0.1291862214472416,1
86,7000086,7490,1-20,15.0,Agent,Small Business,Under Graduate,Male,3,AVP-VP,5.0,Single/Unmarried,28006.375,1,4.130073800738008,902777.625,West,Half Yearly,13,2.0,0.11484905850837727,0
87,7000087,5907,21-39,12.0,Online,Salaried,Graduate,Male,3,Senior Manager,4.0,Divorced,26849.0,1,2.0,590678.0,West,Half Yearly,9,3.0,0.04078362919367985,0
88,7000088,1878,1-20,2.0,Agent,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17070.0,0,1.0,619999.6992670636,North,Half Yearly,4,2.0,0.13357447605641418,1
89,7000089,3870,1-20,8.0,Agent,Small Business,Under Graduate,Male,3,Manager,2.0,Divorced,21502.0,0,1.0,696665.0,North,Half Yearly,1,3.0,0.13217652594763213,1
90,7000090,4375,21-39,14.469026548672566,Agent,Small Business,Under Graduate,Male,4,Executive,3.0,Single/Unmarried,18230.0,0,6.5,791911.0,North,Yearly,0,5.0,0.06766478693172222,2
91,7000091,3432,1-20,17.0,Online,Small Business,Under Graduate,Female,3,Senior Manager,2.0,Married,28006.375,1,1.0,422180.0,East,Half Yearly,2,3.0,0.09187016102288473,1
92,7000092,3779,1-20,4.0,Agent,Salaried,Graduate,Female,2,Senior Manager,4.0,Married,26996.0,0,6.0,733211.0,North,Quarterly,2,5.0,0.05154923416679508,1
93,7000093,2473,1-20,2.0,Agent,Small Business,Under Graduate,Female,2,Manager,5.0,Married,20605.0,1,4.0,316493.0,West,Quarterly,7,3.0,0.07240271143399774,1
94,7000094,3210,1-20,6.0,Third Party Partner,Salaried,Graduate,Female,3,Manager,4.0,Married,21397.0,0,6.5,436499.0,West,Half Yearly,4,5.0,0.11912810204743497,1
95,7000095,5804,21-39,24.5,Agent,Salaried,Graduate,Male,3,AVP-VP,4.0,Married,28006.375,0,4.130073800738008,902777.625,North,Half Yearly,6,5.0,0.1687405914065175,0
96,7000096,7820,40-60,24.5,Agent,Small Business,Under Graduate,Male,3,AVP-VP,4.0,Divorced,28006.375,1,4.130073800738008,902777.625,West,Half Yearly,3,5.0,0.17798389184193222,0
97,7000097,4977,21-39,24.5,Agent,Salaried,Graduate,Male,3,Manager,3.0,Divorced,19907.0,0,6.5,902777.625,West,Half Yearly,6,3.0,0.08923608662520939,0
98,7000098,2542,1-20,5.0,Third Party Partner,Salaried,Graduate,Male,3,Manager,2.0,Single/Unmarried,19554.0,0,3.0,480442.0,West,Half Yearly,9,2.0,0.1294422392755694,1
99,7000099,5104,21-39,24.5,Agent,Large Business,Engineer,Male,3,Manager,2.0,Divorced,20415.0,1,6.0,617554.0,West,Half Yearly,8,2.0,0.02886510483687002,0
100,7000100,4738,21-39,24.5,Third Party Partner,Small Business,Under Graduate,Male,3,Manager,5.0,Divorced,19741.0,1,5.0,578016.0,West,Half Yearly,3,3.0,-0.008009496914861367,0
101,7000101,2054,1-20,2.0,Agent,Salaried,Graduate,Female,3,Executive,2.0,Single/Unmarried,17115.0,0,5.0,619999.6992670636,West,Half Yearly,7,2.0,0.12635233873430438,1
102,7000102,2906,1-20,14.469026548672566,Third Party Partner,Salaried,Graduate,Male,3,Executive,3.0,Married,18161.0,1,3.0,581152.0,West,Half Yearly,0,5.0,0.12292957878601715,1
103,7000103,3734,1-20,19.0,Agent,Salaried,Graduate,Male,3,Manager,2.0,Married,20745.0,0,2.0,642265.0,West,Half Yearly,2,3.0,0.14935781509520993,1
104,7000104,2606,1-20,3.0,Agent,Small Business,Under Graduate,Male,3,Executive,4.0,Married,17373.0,1,2.0,315320.0,West,Half Yearly,2,2.0,0.13246273892967156,1
105,7000105,2197,1-20,14.469026548672566,Agent,Salaried,Graduate,Female,3,Executive,2.0,Single/Unmarried,18310.0,0,5.0,437243.0,North,Half Yearly,2,4.0,0.13590448436719563,1
106,7000106,7070,21-39,24.5,Third Party Partner,Salaried,Graduate,Female,3,AVP-VP,5.0,Single/Unmarried,28006.375,1,4.130073800738008,902777.625,West,Half Yearly,2,3.0,0.15554447931567364,0
107,7000107,4676,1-20,5.0,Agent,Large Business,Engineer,Male,3,Manager,4.0,Single/Unmarried,19485.0,0,6.5,832399.0,East,Half Yearly,7,2.0,0.08359832964008453,1
108,7000108,2668,1-20,14.469026548672566,Third Party Partner,Small Business,Diploma,Female,3,Executive,4.0,Married,17789.0,0,4.0,384242.0,West,Half Yearly,2,3.0,0.12321928893033404,1
109,7000109,2499,1-20,5.0,Agent,Small Business,Diploma,Male,4,Manager,2.0,Single/Unmarried,20828.0,1,5.0,347411.0,West,Yearly,4,2.0,0.05996153330623389,2
110,7000110,2426,1-20,7.0,Third Party Partner,Small Business,Under Graduate,Male,3,Executive,2.0,Divorced,17326.0,1,3.0,349292.0,West,Half Yearly,2,2.0,0.11969119687097271,1
111,7000111,3994,1-20,24.0,Third Party Partner,Small Business,Diploma,Female,3,AVP-VP,4.0,Divorced,28006.375,0,5.0,443279.0,North,Half Yearly,8,3.0,-0.01747840069278169,0
112,7000112,3448,1-20,10.0,Agent,Salaried,Graduate,Male,3,Executive,3.0,Single/Unmarried,16420.0,0,2.0,619999.6992670636,West,Half Yearly,0,3.0,0.14302528406879197,1
113,7000113,4834,21-39,10.0,Agent,Small Business,Diploma,Male,3,Senior Manager,4.0,Divorced,23020.0,0,4.0,536596.0,North,Half Yearly,9,2.0,-0.02482998625568352,0
114,7000114,3924,1-20,24.0,Third Party Partner,Salaried,Graduate,Male,2,Executive,2.0,Divorced,18688.0,0,6.0,651464.0,West,Quarterly,0,5.0,0.059244136768044096,1
115,7000115,4096,1-20,24.5,Agent,Small Business,Under Graduate,Male,5,Manager,4.0,Married,20482.0,0,1.0,462893.0,West,Yearly,2,2.0,0.11921023129884101,2
116,7000116,4032,1-20,24.0,Agent,Salaried,Graduate,Male,3,AVP-VP,4.0,Single/Unmarried,28006.375,0,3.0,528185.0,West,Half Yearly,4,3.0,0.058761818369484825,1
117,7000117,3888,1-20,19.0,Agent,Small Business,Under Graduate,Female,4,Executive,3.0,Single/Unmarried,16200.0,0,6.5,524880.0,North,Yearly,0,2.0,0.06810275185935223,2
118,7000118,3512,1-20,7.0,Agent,Small Business,Under Graduate,Male,2,Manager,5.0,Single/Unmarried,20661.0,0,4.0,600615.0,North,Quarterly,7,5.0,0.07204520777380159,1
119,7000119,4605,21-39,5.0,Agent,Large Business,Engineer,Male,2,Manager,2.0,Divorced,21929.0,0,2.0,497350.0,North,Quarterly,7,2.0,0.06327603055006173,1
120,7000120,6153,1-20,24.5,Agent,Small Business,Under Graduate,Male,2,Senior Manager,2.0,Married,24613.0,0,2.0,664551.0,West,Quarterly,7,3.0,-0.0036998262787438295,0
121,7000121,2894,1-20,14.0,Online,Salaried,Graduate,Female,3,Manager,4.0,Divorced,20674.0,0,1.0,512302.0,West,Half Yearly,8,3.0,0.1417666057155951,1
122,7000122,3482,1-20,14.0,Agent,Salaried,Graduate,Male,4,Manager,3.0,Divorced,20484.0,0,1.0,508413.0,North,Yearly,8,3.0,0.058234974037640636,2
123,7000123,6495,1-20,13.0,Agent,Salaried,Graduate,Female,4,Senior Manager,4.0,Divorced,27061.0,0,6.5,902777.625,West,Yearly,1,3.0,0.03569593104829822,0
124,7000124,2066,1-20,6.0,Online,Salaried,Graduate,Male,5,Manager,3.0,Married,20660.0,1,2.0,365682.0,West,Yearly,2,2.0,0.11494896579628736,2
125,7000125,4361,1-20,17.0,Agent,Large Business,Engineer,Male,3,Executive,2.0,Divorced,19821.0,1,6.5,671535.0,West,Half Yearly,3,4.0,0.0971620045763005,1
126,7000126,4282,21-39,13.0,Agent,Salaried,MBA,Male,4,Manager,5.0,Divorced,21410.0,0,5.0,736504.0,North,Yearly,0,3.0,0.06165275188134817,2
127,7000127,4648,1-20,24.5,Third Party Partner,Salaried,Graduate,Male,3,Senior Manager,5.0,Married,20210.0,0,6.0,804156.0,North,Half Yearly,11,2.0,0.00584348027311019,0
128,7000128,2831,1-20,8.0,Agent,Salaried,Graduate,Male,3,Executive,2.0,Married,17695.0,1,1.0,311432.0,West,Half Yearly,2,4.0,0.1462668570023894,1
129,7000129,4838,1-20,10.0,Third Party Partner,Salaried,Graduate,Female,3,Senior Manager,4.0,Divorced,26878.0,0,1.0,759572.0,North,Half Yearly,8,3.0,-0.04619823663609962,0
130,7000130,7696,40-60,23.0,Agent,Small Business,Under Graduate,Male,3,AVP-VP,5.0,Divorced,28006.375,1,3.0,892773.0,West,Half Yearly,10,3.0,0.18481318895402774,0
131,7000131,2793,1-20,17.0,Third Party Partner,Salaried,Graduate,Female,3,Executive,2.0,Single/Unmarried,17455.0,0,6.0,293244.0,West,Half Yearly,7,5.0,0.1093509192233155,1
132,7000132,7241,21-39,24.5,Agent,Large Business,Engineer,Female,4,AVP-VP,3.0,Single/Unmarried,28006.375,1,6.5,902777.625,West,Yearly,7,3.0,0.1352441182536093,0
133,7000133,3390,1-20,20.0,Agent,Small Business,Under Graduate,Male,4,Manager,4.0,Divorced,19941.0,0,1.0,400016.0,West,Yearly,7,2.0,0.05764679756659379,2
134,7000134,4370,1-20,22.0,Agent,Salaried,Graduate,Female,3,Executive,4.0,Single/Unmarried,17478.0,1,6.5,524340.0,West,Half Yearly,2,3.0,0.09855827312254449,1
135,7000135,3439,1-20,17.0,Agent,Large Business,Engineer,Female,4,Manager,4.0,Divorced,20228.0,1,1.0,457355.0,North,Yearly,9,2.0,0.04957787290529735,2
136,7000136,4480,1-20,4.0,Agent,Salaried,Graduate,Male,3,Manager,3.0,Single/Unmarried,19478.0,1,1.0,730230.0,North,Half Yearly,4,4.0,0.12265044915142338,1
137,7000137,3157,1-20,3.0,Agent,Small Business,Diploma,Male,3,Manager,2.0,Married,22547.0,0,3.0,404042.0,North,Half Yearly,7,2.0,0.14181960075780037,1
138,7000138,3610,1-20,18.0,Agent,Small Business,Under Graduate,Female,2,Manager,2.0,Single/Unmarried,20055.0,0,4.0,415139.0,North,Quarterly,7,3.0,0.07431577234753521,1
139,7000139,1846,1-20,14.469026548672566,Agent,Small Business,Under Graduate,Male,5,Executive,2.0,Divorced,18464.0,1,4.0,204950.0,West,Yearly,2,3.0,0.07944580177869155,2
140,7000140,2909,1-20,3.0,Agent,Small Business,Under Graduate,Female,3,Manager,2.0,Divorced,20775.0,0,3.0,421733.0,North,Half Yearly,9,3.0,0.13485520910672943,1
141,7000141,5986,1-20,12.0,Third Party Partner,Salaried,Graduate,Female,4,Senior Manager,3.0,Divorced,23943.0,0,2.0,676390.0,West,Yearly,9,2.0,0.06100524880269404,2
142,7000142,7197,1-20,24.5,Third Party Partner,Small Business,Under Graduate,Male,4,AVP-VP,2.0,Divorced,28006.375,0,4.130073800738008,902777.625,West,Yearly,3,5.0,0.0683792266063099,0
143,7000143,5060,21-39,24.5,Agent,Small Business,Under Graduate,Female,3,Manager,3.0,Divorced,20238.0,1,3.0,814580.0,West,Half Yearly,0,4.0,0.025035951689566183,0
144,7000144,4133,21-39,4.0,Third Party Partner,Small Business,Diploma,Male,4,Manager,2.0,Single/Unmarried,19682.0,0,4.0,731580.0,West,Yearly,1,3.0,0.06455579998027391,2
