,AgentBonus,Age,CustTenure,ExistingProdType,NumberOfPolicy,MonthlyIncome,Complaint,ExistingPolicyTenure,SumAssured,LastMonthCalls,CustCareScore,Channel_Online,Channel_Third Party Partner,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,EducationField_Engineer,EducationField_Graduate,EducationField_MBA,EducationField_Post Graduate,EducationField_Under Graduate,Gender_Male,Designation_Exe,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single,Zone_North,Zone_South,Zone_West,PaymentMethod_Monthly,PaymentMethod_Quarterly,PaymentMethod_Yearly,Clus_kmeans,Agglo_Clusters,sil_width
41,2405,2.0,2.0,4,2.0,17177.0,0,7.0,578976.5,0,3.0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0.06581768196665433
42,3779,11.0,23.0,3,2.0,17177.0,0,2.0,578976.5,8,4.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,4,0.06816976384277336
43,3896,4.0,16.0,3,2.0,22918.0,0,6.0,599993.0,1,3.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0.1684343396948911
44,3806,15.0,11.0,3,3.0,23789.0,0,5.0,738411.0,8,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,4,0.10730204449437938
45,4347,13.0,4.0,4,2.0,17389.0,1,3.0,434725.0,1,3.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,2,4,0.17425344184877575
46,2003,10.0,13.0,4,2.0,18212.0,0,6.0,368611.0,2,3.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,4,0.11398606127188064
47,4450,27.0,9.0,3,2.0,34232.0,0,3.0,756527.0,15,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.11413118360764281
48,3971,16.0,24.0,3,3.0,17267.0,0,4.0,424941.0,2,4.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,0.19504864228119415
49,7594,23.0,30.0,3,2.0,34517.0,0,3.0,1306123.0,6,2.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0.1404512988032547
50,2790,13.0,17.0,3,2.0,17436.0,1,4.0,488208.0,4,2.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,0.19028657584827946
51,6213,37.0,31.0,3,2.0,21606.0,1,3.0,776600.0,9,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,-0.06361302604062806
52,2125,13.0,4.0,3,5.0,17707.0,0,1.0,303852.0,7,3.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0.11126013978099498
53,5451,33.0,27.0,4,3.0,34068.0,1,3.0,566892.0,12,2.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,3,0,0.08872912292545132
54,3218,19.0,10.0,3,4.0,18931.0,0,3.0,482741.0,2,3.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0.12741839965243124
55,2060,8.0,2.0,4,3.0,18730.0,1,2.0,245176.0,2,5.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,4,0.10337603028404489
56,3102,12.0,3.0,3,3.0,17232.0,0,1.0,578976.5,2,3.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,4,0.11127656827060134
57,1947,12.0,10.0,3,2.0,19465.0,0,6.0,210222.0,2,4.0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,0.10847707456501027
58,2530,15.0,13.0,3,5.0,18072.0,0,1.0,361801.0,0,2.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0.10752468217803197
59,3847,8.0,13.0,3,2.0,18319.0,0,4.0,453945.0,7,3.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,4,0.26852025631565324
60,3420,14.0,10.0,2,2.0,34202.0,0,3.0,420685.0,7,4.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,-0.01533999021633259
61,5162,10.0,31.0,3,3.0,28675.0,0,8.0,727772.0,2,4.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,4,0.12591380742649558
62,2687,5.0,13.0,4,2.0,17911.0,0,1.0,292845.0,2,2.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4,0.1108052633219295
63,4820,19.0,24.0,4,5.0,20957.0,0,8.0,882080.0,9,4.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0.09914694141662284
64,4541,14.0,9.0,4,5.0,18920.0,0,5.0,476784.0,2,4.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,4,0.19251335361824198
65,3858,15.0,12.0,2,3.0,21434.0,0,1.0,598009.0,2,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,4,0.04583460179082955
66,6262,13.0,38.0,3,3.0,25048.0,0,6.0,845370.0,0,3.0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,4,0.10116958388030796
67,2853,17.0,3.0,3,3.0,25938.0,0,3.0,524985.0,8,2.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,4,0.23596185783838525
68,1907,13.0,2.0,3,2.0,17340.0,0,1.0,223166.0,5,3.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0.1117789700570745
69,2370,12.0,2.0,2,5.0,21545.0,1,4.0,421851.0,2,2.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4,0.04226935968877293
70,2632,5.0,3.0,3,2.0,21931.0,0,2.0,494763.0,2,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,4,0.14007011496497687
71,2587,10.0,10.0,3,3.0,19898.0,0,1.0,271608.0,2,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0.11074311693766144
72,1759,13.0,4.0,4,5.0,17593.0,1,3.0,299081.0,8,4.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,4,0.17037102436409557
73,3788,19.0,8.0,3,3.0,34436.0,0,3.0,458343.0,9,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,-0.02671561388695135
74,1950,13.0,4.0,3,2.0,17723.0,0,1.0,384057.0,0,4.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0.1163516711385814
75,2587,5.0,13.0,4,4.0,18479.0,0,1.0,463084.0,4,3.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,4,0.17016207593729787
76,4093,25.0,13.0,2,4.0,17794.0,0,1.0,781690.0,3,2.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,0.047936501394607214
77,3037,15.0,15.0,4,2.0,20249.0,0,9.0,419154.0,5,5.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,0.09286335127167372
78,3092,19.0,3.0,4,5.0,17176.0,0,4.0,578976.5,4,4.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,4,0.2735330646539943
79,3187,13.0,16.0,5,4.0,21606.0,1,5.0,382464.0,7,5.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0.26663001020247934
80,4621,14.0,13.0,3,3.0,18485.0,0,1.0,573035.0,0,4.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0.12159457747490679
81,5411,22.0,22.0,4,4.0,21644.0,0,1.0,1001035.0,0,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,4,0.17238329647491424
82,5146,21.0,5.0,4,2.0,20582.0,0,6.0,926190.0,8,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,4,0.17746313296546035
83,3610,11.0,4.0,2,5.0,19000.0,0,4.0,527060.0,5,5.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,4,0.04262173725107076
84,4844,15.0,15.0,3,2.0,28496.0,1,2.0,949487.0,10,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0.16011930670549515
85,4188,4.0,13.0,3,2.0,18210.0,0,1.0,603115.0,11,5.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0.11213782568077298
86,7490,15.0,15.0,3,5.0,34045.0,1,3.0,1303243.0,13,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0.10906707213352866
87,5907,24.0,12.0,3,4.0,26849.0,1,2.0,590678.0,9,3.0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0.07804617308691006
88,1878,2.0,2.0,3,2.0,17070.0,0,1.0,578976.5,4,2.0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0.10613806334490208
89,3870,12.0,8.0,3,2.0,21502.0,0,1.0,696665.0,1,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,4,0.19964148987471098
90,4375,26.0,13.0,4,3.0,18230.0,0,8.0,791911.0,0,5.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,4,0.16022331533717998
91,3432,17.0,17.0,3,2.0,28603.0,1,1.0,422180.0,2,3.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,4,0.14669411910105962
92,3779,15.0,4.0,2,4.0,26996.0,0,6.0,733211.0,2,5.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,4,0.04243146231233652
93,2473,5.0,2.0,2,5.0,20605.0,1,4.0,316493.0,7,3.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,2,4,0.08909708922030181
94,3210,10.0,6.0,3,4.0,21397.0,0,8.0,436499.0,4,5.0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0.10256924313986138
95,5804,29.0,29.0,3,4.0,34144.0,0,3.0,1073829.0,6,5.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0.15070762373231544
96,7820,47.0,39.0,3,4.0,32584.0,1,3.0,1008801.0,3,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0.06495276585512798
97,4977,30.0,30.0,3,3.0,19907.0,0,12.0,950559.0,6,3.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0.08838394484586247
98,2542,13.0,5.0,3,2.0,19554.0,0,3.0,480442.0,9,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0.10049896001210706
99,5104,31.0,26.0,3,2.0,20415.0,1,6.0,617554.0,8,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0.2446329170699051
100,4738,28.0,28.0,3,5.0,19741.0,1,5.0,578016.0,3,3.0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0.1670055404715529
101,2054,10.0,2.0,3,2.0,17115.0,0,5.0,578976.5,7,2.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0.06547766959682026
102,2906,3.0,13.0,3,3.0,18161.0,1,3.0,581152.0,0,5.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0.10795473691569199
103,3734,7.0,19.0,3,2.0,20745.0,0,2.0,642265.0,2,3.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,0.12007089773993407
104,2606,13.0,3.0,3,4.0,17373.0,1,2.0,315320.0,2,2.0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0.18710056191612864
105,2197,4.0,13.0,3,2.0,18310.0,0,5.0,437243.0,2,4.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,0.11464112032012733
106,7070,28.0,28.0,3,5.0,33665.0,1,3.0,1145283.0,2,3.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0.1350805087711728
107,4676,9.0,5.0,3,4.0,19485.0,0,7.0,832399.0,7,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,0.2663966770239741
108,2668,8.0,13.0,3,4.0,17789.0,0,4.0,384242.0,2,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,4,0.12490722154762295
109,2499,2.0,5.0,4,2.0,20828.0,1,5.0,347411.0,4,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,2,4,0.12365933158015086
110,2426,13.0,7.0,3,2.0,17326.0,1,3.0,349292.0,2,2.0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,4,0.16940468644907172
111,3994,20.0,24.0,3,4.0,28525.0,0,5.0,443279.0,8,3.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0.1199373441033654
112,3448,3.0,10.0,3,3.0,16420.0,0,2.0,578976.5,0,3.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,0.11969278235456149
113,4834,24.0,10.0,3,4.0,23020.0,0,4.0,536596.0,9,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,0.12357766448397753
114,3924,8.0,24.0,2,2.0,18688.0,0,6.0,651464.0,0,5.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,0.048669252968828056
115,4096,4.0,25.0,5,4.0,20482.0,0,1.0,462893.0,2,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2,4,0.19161982650850348
116,4032,20.0,24.0,3,4.0,21606.0,0,3.0,528185.0,4,3.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0.1200425036496655
117,3888,16.0,19.0,4,3.0,16200.0,0,12.0,524880.0,0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,4,0.15950074725340724
118,3512,14.0,7.0,2,5.0,20661.0,0,4.0,600615.0,7,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,2,4,0.08794002388139581
119,4605,23.0,5.0,2,2.0,21929.0,0,2.0,497350.0,7,2.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,0.11767015686153216
120,6153,6.0,31.0,2,2.0,24613.0,0,2.0,664551.0,7,3.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,2,4,0.08280224629700648
121,2894,12.0,14.0,3,4.0,20674.0,0,1.0,512302.0,8,3.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0.09562347141305615
122,3482,3.0,14.0,4,3.0,20484.0,0,1.0,508413.0,8,3.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0.10997138994224728
123,6495,6.0,13.0,4,4.0,27061.0,0,8.0,1058626.0,1,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0.06986599553854439
124,2066,6.0,6.0,5,3.0,20660.0,1,2.0,365682.0,2,2.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,4,0.08565154941829958
125,4361,17.0,17.0,3,2.0,19821.0,1,9.0,671535.0,3,4.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,4,0.2832342622389773
126,4282,26.0,13.0,4,5.0,21410.0,0,5.0,736504.0,0,3.0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,0.03202697410334711
127,4648,9.0,28.0,3,5.0,20210.0,0,6.0,804156.0,11,2.0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,0.08030839010193824
128,2831,13.0,8.0,3,2.0,17695.0,1,1.0,311432.0,2,4.0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0.11831903291960381
129,4838,10.0,10.0,3,4.0,26878.0,0,1.0,759572.0,8,3.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0.08911152549763864
